ticker,n_rows,accuracy
GLH,360.0,0.5277777777777778
NTC,360.0,0.5277777777777778
RHPL,360.0,0.5277777777777778
NFS,360.0,0.5277777777777778
ULBSL,359.0,0.5264623955431755
ICFC,360.0,0.525
UMHL,360.0,0.525
RFPL,359.0,0.5236768802228412
TRH,358.0,0.5223463687150838
AVYAN,360.0,0.5222222222222223
GILB,360.0,0.5222222222222223
NICA,360.0,0.5222222222222223
RADHI,360.0,0.5222222222222223
SLBSL,360.0,0.5222222222222223
SFCL,345.0,0.5217391304347826
UNL,324.0,0.5216049382716049
SFMF,317.0,0.5205047318611987
NBF2,358.0,0.5195530726256983
NBF3,358.0,0.5195530726256983
RSDC,360.0,0.5194444444444445
PMHPL,360.0,0.5194444444444445
TAMOR,360.0,0.5194444444444445
SIKLES,360.0,0.5194444444444445
LBBL,360.0,0.5194444444444445
LICN,360.0,0.5194444444444445
GLBSL,360.0,0.5194444444444445
BHPL,360.0,0.5194444444444445
DLBS,359.0,0.5181058495821727
GBIME,360.0,0.5166666666666667
JOSHI,360.0,0.5166666666666667
GUFL,360.0,0.5166666666666667
MLBL,360.0,0.5166666666666667
SKBBL,360.0,0.5166666666666667
SIFC,359.0,0.5153203342618384
LLBS,359.0,0.5153203342618384
NICFC,358.0,0.5139664804469274
DHPL,360.0,0.5138888888888888
RHGCL,359.0,0.5125348189415042
ALICL,359.0,0.5125348189415042
SBCF,359.0,0.5125348189415042
AHL,360.0,0.5111111111111111
UMRH,360.0,0.5111111111111111
NRN,360.0,0.5111111111111111
HPPL,360.0,0.5111111111111111
RBCL,358.0,0.5083798882681564
CZBIL,360.0,0.5083333333333333
CFCL,360.0,0.5083333333333333
BFC,360.0,0.5083333333333333
USLB,360.0,0.5083333333333333
MKJC,360.0,0.5083333333333333
NUBL,359.0,0.5069637883008357
ENL,359.0,0.5069637883008357
VLBS,358.0,0.505586592178771
JSLBB,358.0,0.505586592178771
CYCL,360.0,0.5055555555555555
API,360.0,0.5055555555555555
USHEC,360.0,0.5055555555555555
JBLB,360.0,0.5055555555555555
GBLBS,319.0,0.5047021943573667
NMB50,335.0,0.5044776119402985
LEC,360.0,0.5027777777777778
HLBSL,360.0,0.5027777777777778
SPIL,360.0,0.5027777777777778
NESDO,360.0,0.5027777777777778
CHDC,360.0,0.5027777777777778
SANIMA,360.0,0.5027777777777778
MSLB,360.0,0.5
HHL,360.0,0.5
NLIC,360.0,0.5
ACLBSL,359.0,0.4986072423398329
AHPC,360.0,0.49722222222222223
MBL,360.0,0.49722222222222223
HEI,360.0,0.49722222222222223
CBBL,360.0,0.49722222222222223
HIDCL,360.0,0.49722222222222223
SLBBL,360.0,0.49722222222222223
SBL,360.0,0.49722222222222223
NHPC,360.0,0.49722222222222223
SLCF,358.0,0.4972067039106145
SWBBL,360.0,0.49444444444444446
HDHPC,360.0,0.49444444444444446
SHEL,360.0,0.49444444444444446
SJCL,360.0,0.49444444444444446
NRIC,359.0,0.49303621169916434
BNT,351.0,0.4928774928774929
MNBBL,360.0,0.49166666666666664
MHNL,360.0,0.49166666666666664
SJLIC,360.0,0.49166666666666664
SGHC,360.0,0.49166666666666664
HDL,360.0,0.49166666666666664
CGH,360.0,0.49166666666666664
CHCL,360.0,0.49166666666666664
EDBL,360.0,0.4888888888888889
PPCL,360.0,0.4888888888888889
NMB,360.0,0.4888888888888889
STC,360.0,0.4888888888888889
NMFBS,360.0,0.4888888888888889
SAGF,354.0,0.4887005649717514
ADBL,360.0,0.4861111111111111
NIL,360.0,0.4861111111111111
NBL,360.0,0.4861111111111111
SMATA,360.0,0.4861111111111111
SADBL,360.0,0.4861111111111111
NICL,360.0,0.4861111111111111
MMF1,359.0,0.48467966573816157
SHLB,359.0,0.48467966573816157
NLICL,359.0,0.48467966573816157
SGIC,360.0,0.48333333333333334
AKJCL,360.0,0.48333333333333334
UHEWA,359.0,0.4818941504178273
SPDL,360.0,0.48055555555555557
GVL,360.0,0.48055555555555557
GBBL,360.0,0.48055555555555557
SHL,360.0,0.48055555555555557
SAHAS,360.0,0.48055555555555557
SCB,360.0,0.4777777777777778
PHCL,360.0,0.4777777777777778
BPCL,360.0,0.4777777777777778
PSF,358.0,0.4776536312849162
GMFIL,360.0,0.475
KSBBL,360.0,0.475
TPC,359.0,0.4735376044568245
AKPL,360.0,0.4722222222222222
